name,age,rank
Cyril Saulnier,28.3,101
Dac Tien Nguyen,20.8,1859
Dalibor Svrcina,20.6,197
Damar Johnson,22.5,-1
Damian Patriarca,23.0,284
Damion Johnson,22.0,-1
Damir Dzumhur,25.6,91
Danai Udomchoke,25.3,170
Dane Sweeny,21.7,441
Daniel Alejandro Lopez Cassaccia,20.6,656
Daniel Altmaier,24.1,93
Daniel Azar,18.5,-1
Daniel Berta,16.6,-1
Daniel Brands,24.9,112
Daniel Chavez Morales,34.1,-1
Daniel Cox,21.9,249
Daniel Cukierman,26.5,533
Daniel Danilovic,20.8,532
Daniel Dutra Da Silva,27.2,239
Daniel Elahi Galan,25.7,123
Daniel Elsner,23.4,147
Daniel Evans,29.8,71
Daniel Garza,25.8,430
Daniel Gimeno Traver,26.6,89
Daniel Glancy,25.4,817
Daniel Isaza,16.4,-1
Daniel King Turner,24.8,429
Daniel Koellerer,25.3,108
Daniel Kosakowski,20.3,443
Daniel Langre,22.9,-1
Daniel Llarenas,23.7,-1
Daniel Masur,23.8,304
Daniel Melo,24.5,248
Daniel Michalski,21.7,528
Daniel Munoz de la Nava,31.7,139
Daniel Nestor,29.0,306
Daniel Rincon,20.6,263
Daniel Smethurst,23.6,234
Daniel Vacek,29.5,283
Daniel Vallejo,39.1,-1
Daniel Vallverdu,21.0,1097
Daniel Willman,26.8,358
Daniel Windahl,19.6,930
Daniel Yoo,18.8,-1
Daniele Bracciali,28.4,89
Daniels Tens,18.2,-1
Daniil Glinka,20.6,890
Daniil Medvedev,24.9,19
Daniil Ostapenkov,17.8,-1
Danilo Petrovic,28.7,163
Dannio Yahya,17.4,-1
Danylo Kalenichenko,22.6,657
Darian King,25.3,366
Dario Acosta,21.4,1447
Darius Florin Bragusi,18.7,942
Darko Bojanovic,21.5,958
Darwin Blanch,16.4,1031
David Agung Susanto,24.4,1323
David Caldwell,26.1,1028
David Ferrer,28.4,20
David Goffin,27.1,37
David Guez,27.7,170
David Jorda Sanchis,29.7,329
David Josepa,21.9,-1
David Kvernadze,18.8,-1
David Luque Velasco,22.1,596
David Marrero,28.6,240
David Martin,26.5,725
David Miketa,25.1,208
David Mullins,31.5,1262
David Nalbandian,24.6,31
David Prinosil,27.9,83
David Sanchez,24.9,71
David Sherwood,25.1,258
David Skoch,30.3,730
David Souto,21.1,437
David Szintai,21.6,-1
David Vega Hernandez,20.8,440
David Wheaton,31.1,393
Davide Sanguinetti,30.9,76
Davin Russell,18.9,-1
Davis Rolis,19.3,-1
Davit Babayan,22.6,-1
Dawid Olejniczak,24.6,329
Dawood Sayed Hashim,18.6,1969
Dean Obrien,23.4,563
Dejan Petrovic,22.2,215
Dekel Valtzer,21.7,441
Delmas Ntcha,21.7,-1
Demetrios Leontis,30.6,-1
Demetris Azoides,23.9,1054
Denes Lukacs,20.6,1151
Denis Golovanov,23.4,333
Denis Gremelmayr,26.7,121
Denis Istomin,27.0,77
Denis Kudla,25.3,113
Denis Matsukevitch,21.7,389
Denis Shapovalov,21.6,44
Denis Yevseyev,31.0,197
Deniss Pavlovs,24.1,725
Dennis Lajola,23.0,719
Dennis Novak,26.4,142
Dennis Novikov,22.3,286
Dennis Peschek,16.5,-1
Dennis Van Scheppingen,28.3,134
Dentry Mortimer,18.8,-1
Denys Molchanov,25.4,240
Devin Badenhorst,18.6,1717
Devin Britton,18.5,1404
Devin Mullings,21.4,1110
Di Wu,22.8,300
Dias Doskarayev,17.6,974
Dick Norman,33.9,128
Didac Perez,21.7,250
Diego Acuna,22.4,891
Diego Ayala,24.2,1223
Diego Camacho,21.0,-1
Diego Cubas,18.3,1102
Diego Duran,,-1
Diego Fernandez Flores,21.3,832
Diego Galeano,18.9,764
Diego Hartfield,26.4,101
Diego Hidalgo,18.8,974
Diego Junqueira,28.6,113
Diego Moyano,27.4,197
Diego Nargiso,30.4,254
Diego Schwartzman,26.8,37
Diego Veronelli,23.8,211
Dieter Kindlmann,25.3,266
Digvijaypratap Singh,23.2,544
Dilshod Sharifi,16.6,-1
Dimitar Grabuloski,27.3,1142
Dimitar Kutrovsky,25.3,450
Dimitar Kuzmanov,25.8,330
Dimitri Badra,20.1,-1
Dimitri Mazur,23.1,714
Dineshkanthan Thangarajah,21.7,-1
Dinko Halachev,29.4,1155
Dino Marcan,21.4,366
Dino Prizmic,17.9,277
Dinu Pescariu,26.5,509
Diogo Rocha,19.8,963
Dmitri Tomashevich,27.5,342
Dmitrii Baskov,20.5,2018
Dmitriy Makeyev,20.9,1103
Dmitro Tolok,18.4,1031
Dmitry Popko,22.9,230
Dmitry Tursunov,26.2,81
Dmitry Vlasov,18.9,288
Dominic Inglot,27.0,941
Dominic Pagon,21.3,-1
