name,age,rank
Federico Delbonis,32.3,131
Federico Dondo,31.4,823
Federico Gaio,29.1,138
Federico Luzzi,27.5,106
Federico Sansonetti,22.8,565
Federico Zeballos,31.2,544
Feliciano Lopez,41.7,634
Felipe Meligeni Alves,25.9,153
Felipe Parada,24.7,385
Felipe Rios,18.9,1285
Felix Auger Aliassime,24.2,19
Felix Mantilla,32.5,1009
Fernando Gonzalez,31.5,263
Fernando Meligeni,32.0,118
Fernando Romboli,22.0,244
Fernando Verdasco,38.8,116
Fernando Vicente,29.2,118
Filip Cristian Jianu,21.3,267
Filip Dewulf,28.3,140
Filip Horansky,29.1,203
Filip Krajinovic,30.9,71
Filip Misolic,22.8,243
Filip Peliwo,20.1,266
Filip Polasek,23.1,760
Filip Prpic,27.6,316
Filip Urban,22.3,513
Filip Veger,18.1,836
Filippo Baldi,23.5,149
Filippo Volandri,32.4,77
Finn Tearney,29.4,1018
Fitriadi M Rifqi,25.0,569
Flavio Cipolla,29.4,107
Flavio Cobolli,22.4,31
Flavio Saretta,26.7,100
Florent Serra,31.4,132
Florian Mayer,34.7,82
Florin Mergea,21.6,291
Frances Tiafoe,26.7,15
Francesco Aldi,24.0,158
Francesco Maestrelli,19.8,186
Francesco Passaro,23.3,240
Francesco Piccari,29.6,406
Francis Casey Alcantara,24.0,1270
Francisco Cabello,27.6,291
Francisco Cerundolo,26.2,30
Francisco Clavet,34.3,178
Francisco Comesana,23.8,108
Francisco Costa,26.5,153
Francisco Fogues,27.6,333
Francisco Llanes,19.4,1262
Francisco Rodriguez,28.0,396
Franco Agamenone,29.2,136
Franco Ferreiro,24.8,168
Franco Roncadelli,24.5,366
Franco Squillari,28.9,154
Frank Condor,21.2,374
Frank Dancevic,32.8,422
Frank Moser,30.0,424
Franko Skugor,30.9,385
Frantisek Cermak,29.8,1554
Fred Hemmes,22.9,215
Fred Simonsson,21.6,674
Frederic Niemeyer,33.2,487
Frederick Sletting Johnsen,20.5,1507
Frederico Ferreira Silva,24.9,190
Frederico Gil,28.0,213
Frederik Fetterlein,29.7,666
Frederik Nielsen,34.4,559
Fredrik Aarum,19.9,1332
Fredrik Ask,19.8,1421
Fredrik Jonsson,23.7,203
Fritz Wolmarans,29.3,477
G D Jones,23.2,817
Gabi Adrian Boitan,25.1,364
Gabor Borsos,23.6,945
Gabor Jaross,23.4,976
Gabriel Diallo,23.0,118
Gabriel Donev,23.1,796
Gabriel Montilla,24.6,882
Gabriel Moraru,30.2,418
Gabriel Pitta,24.3,726
Gabriel Trifu,26.4,307
Gabriel Trujillo Soler,28.5,237
Gael Monfils,38.1,52
Galo Blanco,29.5,347
Gastao Elias,27.2,114
Gaston Etlis,28.8,260
Gaston Gaudio,30.3,966
Genaro Alberto Olivieri,24.8,231
Genius Chidzikwe,26.9,745
Geoffrey Blancaneaux,24.5,152
George Bastl,33.8,227
George Loffhagen,22.2,371
George Tsivadze,24.0,819
Gerald Melzer,28.0,115
Gerard Granollers,24.2,280
Gerardo Lopez Villasenor,25.8,560
Gergely Kisgyorgy,28.9,963
Germain Gigounon,26.0,209
